"","repo_id","parent_id","full_name","counter","percentage","ALL","X0.75","X0.5","X0.25","X1.Commit"
"165",33454885,"7118","jaemyoun/YCSB","29",0.59,"Hard","Hard","Social","Social","Social"
"166",34542996,"7118","nygard89/YCSB","0",0,"Hard","Hard","Hard","Hard","Hard"
"167",38908539,"7118","voellm/YCSB","2",0.5,"Hard","Hard","Social","Social","Social"
"168",41847887,"7118","ysnglt/YCSB","0",0,"Hard","Hard","Hard","Hard","Hard"
"169",44236185,"7118","bigahega/YCSB","0",0,"Hard","Hard","Hard","Hard","Hard"
"170",45651169,"7118","kcroaker/YCSB","0",0,"Hard","Hard","Hard","Hard","Hard"
"171",48354235,"7118","javiteri95/KV-replay","24",0.67,"Hard","Hard","Social","Social","Social"
"172",48354236,"7118","ebozag/KV-replay","0",0,"Hard","Hard","Hard","Hard","Hard"
"173",48661474,"7118","jschmieg/YCSB","3",0.5,"Hard","Hard","Social","Social","Social"
"174",55970931,"7118","obissick/YCSB","1",0.14,"Hard","Hard","Hard","Hard","Social"
"175",60739749,"7118","leschekhomann/YCSB","12",1,"Social","Social","Social","Social","Social"
"176",61657416,"7118","littypl/YCSB-TS","2",1,"Social","Social","Social","Social","Social"
"177",66644566,"7118","zyguan/ycsb","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"178",71707468,"7118","hostirosti/YCSB","1",1,"Social","Social","Social","Social","Social"
"179",75054263,"7118","InspurUSA/YCSB","19",1,"Social","Social","Social","Social","Social"
"180",75195078,"7118","mw2q/YCSB","1",0.5,"Hard","Hard","Social","Social","Social"
"181",76388447,"7118","spuchnin/YCSB_IG","0",0,"Hard","Hard","Hard","Hard","Hard"
"182",77328633,"7118","Angra-DB/YCSB-Angra-DB","3",0.19,"Hard","Hard","Hard","Hard","Social"
"183",77433173,"7118","ChristianNavolskyi/YCSB","20",0.87,"Hard","Social","Social","Social","Social"
"184",80014074,"7118","xinglin/YCSB","2",1,"Social","Social","Social","Social","Social"
"185",83516056,"7118","igorbernstein2/YCSB","2",1,"Social","Social","Social","Social","Social"
"186",83521297,"7118","upthewaterspout/YCSB","3",1,"Social","Social","Social","Social","Social"
"187",83657896,"7118","cld378632668/YCSB_leveldb_leveldbjni_rocksdb","3",0.33,"Hard","Hard","Hard","Social","Social"
"188",83681146,"7118","j3ns/YCSB","2",0.5,"Hard","Hard","Social","Social","Social"
"189",86734323,"7118","memcachier/YCSB","0",0,"Hard","Hard","Hard","Hard","Hard"
"190",90552235,"7118","ysnglt/YCSB-neo4j","8",0.5,"Hard","Hard","Social","Social","Social"
"191",90728114,"7118","utsaslab/YCSB","0",0,"Hard","Hard","Hard","Hard","Hard"
"192",92966460,"7118","Tim020/YCSB","11",1,"Social","Social","Social","Social","Social"
"193",93149533,"7118","isuntsov-gridgain/YCSB","2",0.5,"Hard","Hard","Social","Social","Social"
"194",93192650,"7118","yozank/YCSB","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"195",96519183,"7118","mahesh152/YCSB","2",1,"Social","Social","Social","Social","Social"
"196",97409077,"7118","liukun4515/YCSB","2",0.67,"Hard","Hard","Social","Social","Social"
"197",101915071,"7118","FileTrek/YCSB","0",0,"Hard","Hard","Hard","Hard","Hard"
"198",105086023,"7118","flint-dominic/YCSB","3",0.5,"Hard","Hard","Social","Social","Social"
"199",109510971,"7118","yashadajadhav/YCSB","0",0,"Hard","Hard","Hard","Hard","Hard"
"200",109997839,"7118","YugaByte/YCSB","0",0,"Hard","Hard","Hard","Hard","Hard"
"201",110401266,"7118","bbengfort/YCSB","0",0,"Hard","Hard","Hard","Hard","Hard"
"202",115945906,"7118","binaryloki/YCSB","0",0,"Hard","Hard","Hard","Hard","Hard"
"203",116265257,"7118","timoha/YCSB","3",1,"Social","Social","Social","Social","Social"
"204",119047440,"7118","Csoyee/YCSB","0",0,"Hard","Hard","Hard","Hard","Hard"
"205",134568598,"7118","alexwong/YCSB","25",0.48,"Hard","Hard","Hard","Social","Social"
"206",135149869,"7118","dfquaresma/YCSB","4",0.5,"Hard","Hard","Social","Social","Social"
"207",61909,"7836","Mocel/twitter4j","69",1,"Social","Social","Social","Social","Social"
"208",859440,"7836","kennydude/twitter4j","0",0,"Hard","Hard","Hard","Hard","Hard"
"209",1329932,"7836","komiya-atsushi/twitter4j","11",1,"Social","Social","Social","Social","Social"
"210",1415478,"7836","sigpwned/twitter4j","2",1,"Social","Social","Social","Social","Social"
"211",1652351,"7836","ApplePedlar/twitter4j","7",1,"Social","Social","Social","Social","Social"
"212",1874496,"7836","sproutsocial/twitter4j","0",0,"Hard","Hard","Hard","Hard","Hard"
"213",2594581,"7836","levelup/twitter4j","27",0.53,"Hard","Hard","Social","Social","Social"
"214",2733196,"7836","HubSpot/twitter4j","15",0.21,"Hard","Hard","Hard","Hard","Social"
"215",2740012,"7836","s17er/twitter4j","4",0.8,"Hard","Social","Social","Social","Social"
"216",5747084,"7836","Meshfire/twitter4j","6",1,"Social","Social","Social","Social","Social"
"217",6091462,"7836","takke/twitter4j","0",0,"Hard","Hard","Hard","Hard","Hard"
"218",7763782,"7836","Codigami/twitter4j","0",0,"Hard","Hard","Hard","Hard","Hard"
"219",8786233,"7836","tylermac/twitter4j","1",0.5,"Hard","Hard","Social","Social","Social"
"220",9244906,"7836","u2i/twitter4j","0",0,"Hard","Hard","Hard","Hard","Hard"
"221",11781474,"7836","fankave/twitter4j","5",0.33,"Hard","Hard","Hard","Social","Social"
"222",48575316,"7836","YousefED/twitter4j","0",0,"Hard","Hard","Hard","Hard","Hard"
"223",48855185,"7836","socialwareinc/twitter4j","0",0,"Hard","Hard","Hard","Hard","Hard"
"224",68929680,"7836","krallus/twitter4j","7",1,"Social","Social","Social","Social","Social"
"225",72348455,"7836","SingingBush/twitter4j","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"226",104526632,"7836","takke/twitter4a","0",0,"Hard","Hard","Hard","Hard","Hard"
"227",106540243,"7836","seratch/twitter4j","1",1,"Social","Social","Social","Social","Social"
"228",12335,"12333","esteban-aliverti/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"229",83243,"12333","sotty/drools","0",0,"Hard","Hard","Hard","Hard","Hard"
"230",89935,"12333","mariofusco/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"231",131888,"12333","etirelli/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"232",214103,"12333","mrietveld/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"233",256172,"12333","rsynek/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"234",270060,"12333","mikemelton/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"235",274025,"12333","jsvitak/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"236",297131,"12333","fahman/drools","0",0,"Hard","Hard","Hard","Hard","Hard"
"237",305224,"12333","mswiderski/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"238",320218,"12333","guyramirez/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"239",342336,"12333","adembo/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"240",450699,"12333","jvg123/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"241",482848,"12333","izakova/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"242",489263,"12333","tkobayas/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"243",640884,"12333","reynoldsm88/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"244",801238,"12333","Salaboy/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"245",964623,"12333","jespersm/drools","0",0,"Hard","Hard","Hard","Hard","Hard"
"246",964639,"12333","jerr/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"247",1263628,"12333","vinodkiran/drools","0",0,"Hard","Hard","Hard","Hard","Hard"
"248",1419979,"12333","winklerm/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"249",1472531,"12333","mdproctor/drools","0",0,"Hard","Hard","Hard","Hard","Hard"
"250",1676114,"12333","cvgaviao/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"251",1758120,"12333","josecarloscr/drools","0",0,"Hard","Hard","Hard","Hard","Hard"
"252",2020240,"12333","leogomes/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"253",2020243,"12333","bauna/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"254",2020252,"12333","psiroky/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"255",2968918,"12333","yurloc/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"256",3938143,"12333","manstis/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"257",4868661,"12333","mbiarnes/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"258",5477373,"12333","hekmatnejad/drools","0",0,"Hard","Hard","Hard","Hard","Hard"
"259",8026859,"12333","tarilabs/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"260",10250653,"12333","kedzie/drools-android","0",0,"Hard","Hard","Hard","Hard","Hard"
"261",10844837,"12333","lanceleverich/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"262",13005489,"12333","kevinpeterson/drools","0",0,"Hard","Hard","Hard","Hard","Hard"
"263",14999189,"12333","baldimir/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"264",15919348,"12333","rajashekharmunthakewill/drools","0",0,"Hard","Hard","Hard","Hard","Hard"
"265",19125621,"12333","jomarko/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"266",20775635,"12333","Rikkola/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"267",21628120,"12333","sutaakar/drools","0",0,"Hard","Hard","Hard","Hard","Hard"
"268",28594208,"12333","lukenjmcd/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"269",32424557,"12333","Multi-Support/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"270",39028485,"12333","ollie314/drools","0",0,"Hard","Hard","Hard","Hard","Hard"
"271",39385487,"12333","AvinduDinushan/drools","0",0,"Hard","Hard","Hard","Hard","Hard"
"272",46570417,"12333","Mikord/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"273",53655514,"12333","jesuino/drools","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"274",559252,"13874","eugeneiiim/avro","0",0,"Hard","Hard","Hard","Hard","Hard"
"275",712669,"13874","ept/avro","1",0.2,"Hard","Hard","Hard","Hard","Social"
"276",1264321,"13874","kojiromike/avro","56",1,"Social","Social","Social","Social","Social"
"277",1676106,"13874","dcreager/avro","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"278",1676107,"13874","johnzachary/avro","1",0.01,"Hard","Hard","Hard","Hard","Social"
"279",3463912,"13874","walshb/avro","5",1,"Social","Social","Social","Social","Social"
"280",9663742,"13874","Yelp/avro","0",0,"Hard","Hard","Hard","Hard","Hard"
"281",11664976,"13874","ibmsoe/avro","0",0,"Hard","Hard","Hard","Hard","Hard"
"282",13507295,"13874","zolyfarkas/avro","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"283",20377078,"13874","crs4/avro","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"284",26465531,"13874","irods/avro","0",NA,"Dead?","Dead?","Dead?","Dead?","Dead?"
"285",28260481,"13874","ZubairNabi/avro","1",1,"Social","Social","Social","Social","Social"
