repo_id,age,new_jaccard,commit_count,K,,repo_id,age,new_jaccard,commit_count,K,,,Cluster #,Count,Age,Commits,Jaccard Distance
19638,2563,0.921739,214,0,,36414087,1135,0,76,1,,,,,,,
3890739,2200,0.889831,106,0,,36496354,1209,0.285714,46,1,,,,,,,
9664863,1874,0.863636,44,0,,37317983,1131,0.4,36,1,,,,,,,
10343104,1828,0.873563,40,0,,41128437,1054,0,656,1,,,,,,,
11140905,1765,0.863636,9,0,,41196879,1052,0.428571,17,1,,,,,,,
11223566,1760,0.863636,7,0,,41615975,1198,0,18,1,,,,,,,
19760818,1486,0.669903,71,0,,41748562,1108,0.142857,81,1,,,,,,,
20228114,1796,0.673077,26,0,,42224523,1038,0.428571,2,1,,,,,,,
38020330,1095,0.62963,33,0,,42583524,1034,0,137,1,,,,,,,
44574416,1097,0.673077,21,0,,43584047,1020,0.428571,3,1,,,,,,,
57296018,835,0.59434,2,0,,43648885,1018,0.142857,746,1,,,,,,,
1436297,2386,0.727273,113,0,,43758596,1049,0.428571,56,1,,,,,,,
1666406,2364,0.857143,6,0,,43873109,1016,0,689,1,,,,,,,
3110678,2269,0.860465,19,0,,44904231,1002,0.285714,11,1,,,,,,,
3444169,2230,0.886364,9,0,,45337146,1188,0,53,1,,,,,,,
5292949,2094,0.755556,10,0,,45945295,987,0.4,20,1,,,,,,,
5367889,2087,0.75,24,0,,46010617,986,0.428571,5,1,,,,,,,
15199253,1596,0.681818,3,0,,46438380,981,0,138,1,,,,,,,
17722461,1534,0.571429,4,0,,47488870,971,0.428571,9,1,,,,,,,
19816178,1484,0.4,65,0,,47665768,967,0.428571,5,1,,,,,,,
21176433,1508,0.463415,75,0,,48304237,961,0,35,1,,,,,,,
21922270,1432,0.571429,5,0,,48422414,959,0.428571,17,1,,,,,,,
22148339,1816,0.642857,3,0,,49143814,950,0.357143,21,1,,,,,,,
28033149,1303,0.45,17,0,,49176088,949,0,49,1,,,,,,,
35608638,1133,0.45,49,0,,49178971,949,0.428571,4,1,,,,,,,
38221753,1093,0.45,2,0,,49216658,949,0.4,7,1,,,,,,,
43539905,1166,0.45,1,0,,49634845,943,0.4,12,1,,,,,,,
22669,2493,0.44186,64,0,,50332513,934,0.428571,1,1,,,,,,,
91712,2500,1,340,0,,50851153,927,0.428571,20,1,,,,,,,
198398,2483,1,9,0,,51442173,919,0.142857,1430,1,,,,,,,
222457,2531,1,74,0,,51765539,1193,0,74,1,,,,,,,
312319,2616,1,5,0,,52700373,897,0.4,7,1,,,,,,,
561791,2469,0.454545,188,0,,52715189,897,0.428571,4,1,,,,,,,
1373100,2416,0.454545,53,0,,53081057,893,0.142857,34,1,,,,,,,
3165324,2262,0.4,75,0,,53623886,885,0.428571,11,1,,,,,,,
5628081,2084,0.454545,43,0,,53992455,879,0.4,89,1,,,,,,,
46801795,975,1,479,0,,54171459,885,0,23,1,,,,,,,
66794,2553,0,673,0,,55254434,862,0.428571,2,1,,,,,,,
396853,2599,0.15,45,0,,55986807,852,0.357143,24,1,,,,,,,
1165077,2593,0,120,0,,56283500,848,0.428571,5,1,,,,,,,
7227258,1974,0.395904,2,0,,57226611,836,0.428571,77,1,,,,,,,
31759225,1214,0.395904,72,0,,57288700,835,0.428571,10,1,,,,,,,
1414587,2516,0,6,0,,57738418,830,0.4,1,1,,,,,,,
7938032,1216,0.4,36,0,,58409124,823,0,48,1,,,,,,,
16330532,1535,0.4,8,0,,59723498,808,0.4,22,1,,,,,,,
514702,2472,0.142857,155,0,,60075998,804,0.4,14,1,,,,,,,
3369972,2239,0.428571,227,0,,60275073,802,0.4,8,1,,,,,,,
6144554,1818,0.9375,29,0,,60750681,796,0.357143,16,1,,,,,,,
6616352,2014,0.4,23,0,,61012568,794,0.4,44,1,,,,,,,
9151465,1878,0.966667,55,0,,61690405,786,0.285714,35,1,,,,,,,
11008873,1772,0.966667,9,0,,62656203,774,0,17,1,,,,,,,
11737564,1737,0.966667,8,0,,62763713,773,0.142857,56,1,,,,,,,
15233537,1595,0.966667,229,0,,63427522,772,0.285714,30,1,,,,,,,
16658101,1560,0.939394,82,0,,63437321,765,0.4,3,1,,,,,,,
16788949,1557,0.939394,300,0,,63679265,762,0.4,2,1,,,,,,,
16906551,1554,0.916667,282,0,,64480429,752,0.285714,25,1,,,,,,,
17782733,1533,0.4,2725,0,,65297834,742,0.4,18,1,,,,,,,
19090294,1502,0.939394,108,0,,65548672,739,0.4,20,1,,,,,,,
19332420,1496,0.939394,8,0,,65695645,736,0,225,1,,,,,,,
20185789,1475,0.939394,2501,0,,66145619,730,0.4,4,1,,,,,,,
21310421,1447,0.4,34,0,,66291678,768,0,267,1,,,,,,,
22055120,1807,0.966667,361,0,,66616299,724,0,141,1,,,,,,,
22095406,1634,0.285714,799,0,,66756253,723,0.4,4,1,,,,,,,
22444550,1403,0.428571,240,0,,67539743,712,0.4,7,1,,,,,,,
22459217,1411,0.911765,5,0,,67574661,712,0,16,1,,,,,,,
24118900,1394,0.4,820,0,,68603677,699,0.285714,5,1,,,,,,,
25048566,1384,0.4,252,0,,69148660,692,0.285714,4,1,,,,,,,
28794812,1296,0.428571,6,0,,69260855,690,0.4,2,1,,,,,,,
31023893,1231,0.428571,11,0,,71550566,663,0.4,63,1,,,,,,,
31130719,1228,0.642857,8,0,,72056962,656,0,56,1,,,,,,,
32031956,1758,0.966667,4,0,,72759831,648,0,515,1,,,,,,,
32231087,1202,0.4,66,0,,73087323,644,0,410,1,,,,,,,
