full_name,repo_id,All,70%,90%,30%
shouryalala/collect,83810892,Hard,Social,Social,Social
tsegismont/infinispan,69264726,Social,Social,Social,Social
steveccable/react-native,83064106,Social,Social,Social,Social
ChristianNavolskyi/YCSB,107011479,Hard,Social,Social,Social
andrew-half/flink,130857301,Social,Social,Social,Social
panossot/infinispan,70042526,Social,Social,Social,Social
adozenlines/iosched,48357563,Hard,Hard,Hard,Hard
xinglin/YCSB,110300587,Hard,Social,Social,Social
fax4ever/infinispan,115191628,Social,Social,Social,Social
keedio/camus,18169388,Hard,Hard,Hard,Hard
Sebbia/ActiveAndroid,26798203,Hard,Hard,Hard,Hard
haster/infinispan,125422522,Social,Social,Social,Social
ubatin/react-native,102728127,Social,Social,Social,Social
upthewaterspout/YCSB,114808054,Hard,Social,Social,Social
binxio/flink,169729246,Social,Social,Social,Social
oraNod/infinispan,144987904,Social,Social,Social,Social
slorber/react-native,119379740,Social,Social,Hard,Social
cld378632668/YCSB_leveldb_leveldbjni_rocksdb,115082429,Hard,Social,Social,Social
osunnarvik/react-native,169239267,Social,Social,Social,Social
gborp/infinispan,167531063,Social,Social,Social,Social
magx2/openhab2-addons,72208404,Hard,Social,Social,Social
j3ns/YCSB,115129315,Hard,Social,Social,Social
bondj/kafka,49999511,Social,Social,Social,Social
essentials/Essentials,1773754,Parent,Parent,Parent,Parent
Mohitg06/Hygieia,142050156,Hard,Social,Social,Social
memcachier/YCSB,118939015,Hard,Social,Social,Social
garthy/smarthome,88346275,Social,Social,Social,Social
Yofel/Essentials,5294545,Hard,Hard,Hard,Social
necolt/cameraview,95863962,Hard,Hard,Hard,Hard
kukelekuuk00/Essentials,224511557,Hard,Social,Social,Social
f0rr0/react-native,102874921,Hard,Social,Social,Social
utsaslab/YCSB,124150371,Hard,Hard,Hard,Social
lucasfeliciano/react-native,52609939,Social,Social,Social,Social
Zenexer/Essentials,8749114,Hard,Hard,Hard,Social
scrudden/core,148299661,Social,Social,Social,Social
Tim020/YCSB,127022202,Hard,Hard,Social,Social
ssalonen/openhab2-addons,88195575,Social,Social,Social,Social
riki652/Essentials,5252763,Hard,Hard,Hard,Social
phxnirvana/glide,171211676,Hard,Social,Social,Social
isuntsov-gridgain/YCSB,163383213,Hard,Social,Social,Social
henrywu2019/avro,174789982,Hard,Social,Social,Social
nikooo14/Essentials,6514501,Hard,Hard,Hard,Social
anasanasanas/retrofit,60354489,Hard,Social,Social,Social
yozank/YCSB,127316147,Social,Social,Social,Social
fuho/react-native,79619646,Social,Social,Social,Social
killed37/Essentials,7210083,Hard,Hard,Hard,Social
resetius/kafka,9428499,Hard,Social,Social,Social
mahesh152/YCSB,131578025,Hard,Social,Social,Social
liusy182/react-native,65918991,Social,Social,Social,Social
skmedix/Essentials,15168833,Social,Social,Social,Social
lindong28/kafka,21054638,Social,Social,Social,Social
liukun4515/YCSB,132721297,Hard,Social,Social,Social
nstopkimsk/pinpoint,29340035,Social,Social,Social,Social
Skylexia/Essentials,15094916,Social,Social,Social,Social
charpeni/react-native,54213383,Social,Social,Social,Social
fabienbancharel/metrics,90984069,Social,Social,Social,Social
thekid23/Essentials,9779502,Hard,Hard,Hard,Social
vonovak/react-native,62494140,Social,Social,Social,Social
flint-dominic/YCSB,183550142,Hard,Social,Social,Social
viniciuslcpereira97/retrofit,56953076,Hard,Social,Social,Social
drtshock/Essentials,33965866,Parent,Parent,Parent,Parent
Janmm14/BungeeCord,51833654,Social,Social,Social,Social
yashadajadhav/YCSB,148205938,Hard,Social,Social,Social
ehd/react-native,41884395,Hard,Social,Social,Social
FearFree/Essentials,18295072,Hard,Social,Social,Social
colinhicks/kafka,152491104,Social,Social,Social,Social
YugaByte/YCSB,148840717,Hard,Hard,Hard,Hard
empyrical/react-native,145168591,Social,Social,Social,Social
KingFaris10/Essentials,98818884,Social,Social,Social,Social
Aegeaner/kafka,76919690,Social,Social,Social,Social
bbengfort/YCSB,149360746,Hard,Social,Social,Social
bartdevylder/kafka,106297543,Social,Social,Social,Social
wolfwork/Essentials,23010328,Hard,Social,Social,Social
S0urceror/smarthome,96245714,Hard,Social,Social,Social
binaryloki/YCSB,156517564,Hard,Social,Social,Social
artharyoung/ExoPlayer,69525280,Hard,Social,Social,Social
TotalFreedom/TF-Essentials,21309834,Hard,Hard,Hard,Hard
marcelrv/smarthome,22030802,Social,Social,Social,Social
timoha/YCSB,156932650,Hard,Social,Social,Social
jbellis/YCSB,6355949,Hard,Hard,Hard,Social
Agazed/Essentials,119626222,Hard,Social,Social,Social
griddynamics/camus,19142377,Hard,Hard,Hard,Social
Csoyee/YCSB,160462280,Hard,Social,Social,Social
shaundon/react-native,110252239,Social,Social,Social,Social
Androkai/Essentials,45753567,Social,Social,Social,Social
cimitan/react-native,188127752,Social,Social,Social,Social
alexwong/YCSB,184814454,Hard,Social,Social,Social
Instamotor-Labs/cameraview,94328380,Hard,Hard,Hard,Hard
nathampa0909/Essentials,57227066,Social,Social,Social,Social
ikedam/backend-update-center2,8136192,Hard,Hard,Hard,Social
dfquaresma/YCSB,177327069,Hard,Social,Social,Social
GameAnalytics/metrics,83453026,Hard,Social,Social,Social
md678685/Essentials,66390740,Hard,Social,Social,Social
original-brownbear/kafka,82090417,Social,Social,Social,Social
yusuke/twitter4j,184604,Parent,Parent,Parent,Parent
ovr/react-native,86033886,Social,Social,Social,Social
Mocel/twitter4j,2516304,Hard,Social,Social,Social
jaehong-kim/pinpoint,71328796,Hard,Social,Social,Social
lucko/Essentials,94258037,Social,Social,Social,Social
hypetsch/openhab2-addons,138478841,Hard,Social,Social,Social
kennydude/twitter4j,4616281,Hard,Social,Social,Social
jascotty2/LWC,122925324,Hard,Hard,Hard,Hard
MagnaRisa/Essentials,97362198,Social,Social,Social,Social
inekrashevych-callfire/phoenix,118457773,Hard,Social,Social,Social
komiya-atsushi/twitter4j,6600693,Hard,Social,Social,Social
joel-hamill/kafka,99621265,Social,Social,Social,Social
phonyfakeorreal/Essentials,97590658,Hard,Social,Social,Social
aqlu/dubbo,66133256,Hard,Social,Social,Social
sigpwned/twitter4j,26553550,Hard,Social,Social,Social
zongwan/react-native,92012788,Social,Social,Social,Social
coreequip/Essentials,92215312,Hard,Social,Social,Social
mozilla/smarthome,52273817,Hard,Social,Social,Social
ApplePedlar/twitter4j,7048484,Social,Social,Social,Social
patw0929/react-native,96508591,Social,Social,Social,Social
FadeCloudNW/Essentials,101518912,Hard,Social,Social,Social
wwjiang007/kafka,266498088,Social,Social,Social,Social
sproutsocial/twitter4j,136498293,Hard,Hard,Hard,Hard
jsancio/kafka,169502372,Social,Social,Social,Social
CDAGaming/Essentials,145635338,Hard,Social,Social,Social
ewized/Glowstone,19442596,Social,Social,Social,Social
levelup/twitter4j,1458760,Hard,Social,Social,Social
EdwinMindcraft/ArsMagica2,59132940,Hard,Hard,Hard,Hard
MartenM/Essentials,163749957,Hard,Social,Social,Social
jsdario/react-native,85862965,Hard,Social,Social,Social
HubSpot/twitter4j,8317199,Hard,Social,Social,Social
clojure/clojure,747512,Parent,Parent,Parent,Parent
aljoscha/flink,22066189,Social,Social,Social,Social
s17er/twitter4j,7909415,Hard,Social,Social,Social
skuzniarz/openhab2-addons,109040716,Hard,Hard,Hard,Hard
pallet/clojure,3532596,Hard,Social,Social,Social
Nebula83/openhab2-addons,91321647,Social,Social,Social,Social
Meshfire/twitter4j,21443805,Hard,Social,Social,Social
Fuud/kafka,131982013,Social,Social,Social,Social
amalloy/clojure,5467053,Hard,Social,Social,Social
johnstoecker/raxacore,4283352,Hard,Hard,Hard,Hard
takke/twitter4j,13878635,Hard,Hard,Hard,Hard
asicoe/flink,104794578,Social,Social,Hard,Social
hiredman/clojure,344050,Social,Social,Social,Social
mar-v-in/vtm,69811164,Social,Social,Social,Social
Codigami/twitter4j,52859849,Hard,Social,Social,Social
spindlelabs/metrics,3346160,Social,Social,Social,Social
maxweber/clojure,1495977,Social,Social,Social,Social
techfortress/GriefPrevention,68339667,Hard,Hard,Hard,Hard
tylermac/twitter4j,18074576,Hard,Social,Social,Social
meeran88/Hygieia,80616511,Social,Social,Social,Social
scgilardi/clojure,348806,Social,Social,Social,Social
linkedin/kafka,146944069,Hard,Social,Social,Social
u2i/twitter4j,18836242,Hard,Social,Social,Social
juzerali/spring-batch,7097314,Social,Social,Social,Social
clojure-android/clojure,9873569,Hard,Hard,Hard,Hard
m2je/phoenix,142634140,Social,Social,Social,Social
fankave/twitter4j,23849994,Hard,Social,Social,Social
ericlewis/react-native,170926151,Social,Social,Social,Social
alexander-yakushev/clojure,19957221,Social,Social,Social,Social
Mithion/ArsMagica2,13533527,Parent,Parent,Hard,Parent
YousefED/twitter4j,55212947,Hard,Social,Social,Social
cvgaviao/drools,9030633,Hard,Social,Social,Social
arrdem/clojure,90699322,Hard,Social,Social,Social
derabbink/openhab2-addons,77797805,Social,Social,Social,Social
socialwareinc/twitter4j,71499812,Hard,Hard,Hard,Hard
PocketDreams/SequinLand-Glowstone,82944365,Hard,Social,Social,Social
automenta/clojure,47953804,Hard,Social,Social,Social
sebirdman/react-native,98587320,Hard,Social,Social,Social
jesuino/drools,147231434,Social,Social,Hard,Social
tweise/flink,118981569,Social,Social,Social,Social
source-c/clojure,60530516,Hard,Social,Social,Social
apache/avro,206459,Parent,Parent,Parent,Parent
hcn1519/react-native,173413450,Social,Social,Social,Social
ollie314/clojure,60841337,Hard,Social,Social,Social
alvygao/dubbo,123892202,Hard,Social,Social,Social
pdlug/avro,4052331,Hard,Social,Social,Social
vanniktech/RxJava,47003331,Hard,Social,Social,Social
jamieforrest/clojure,66473510,Hard,Social,Social,Social
chasebri68/openhab2-addons,86336912,Hard,Social,Social,Social
dawidmalina/pinpoint,39721408,Social,Social,Social,Social
ghosthamlet/clojure,3103711,Social,Social,Social,Social
liatrio/Hygieia,76075888,Social,Social,Social,Social
ept/avro,5696793,Hard,Social,Social,Social
holylance/jadx,184748196,Hard,Hard,Hard,Hard
brianfrankcooper/YCSB,618492,Parent,Parent,Parent,Parent
rvema/Hygieia,223066832,Social,Social,Social,Social
kojiromike/avro,4572194,Social,Social,Social,Social
bostjans/bitcoinj,74788965,Hard,Social,Social,Social
jananin/YCSB,5277923,Hard,Social,Social,Social
rbzthinker/react-native,101136643,Social,Social,Social,Social
PetukhovVictor/kotlin,105522774,Social,Social,Social,Social
adityakishore/YCSB,5265634,Hard,Social,Social,Social
heytitle/flink,70276782,Social,Social,Social,Social
johnzachary/avro,7939479,Hard,Hard,Hard,Hard
iheartradio/kafka,39468507,Social,Social,Social,Social
couchbaselabs/YCSB,55576234,Hard,Social,Social,Social
yamill/react-native,42120569,Hard,Social,Social,Social
walshb/avro,9731436,Social,Social,Social,Social
HelloFy/dubbo,120087305,Social,Social,Social,Social
toddlipcon/YCSB,628570,Hard,Hard,Hard,Hard
djr4488/retrofit,147941044,Hard,Social,Social,Social
Yelp/avro,19746560,Social,Social,Social,Social
eaglewatcherwb/flink,163267123,Social,Social,Social,Social
xiowu0/kafka,145757337,Social,Social,Social,Social
ibmsoe/avro,23309087,Hard,Social,Social,Social
MyIgel/EH17Fahrplan,87952029,Hard,Hard,Hard,Hard
dhentchel/YCSB,7446359,Hard,Social,Social,Social
Savalek/zeppelin,119392004,Social,Social,Social,Social
zolyfarkas/avro,161528778,Hard,Hard,Hard,Hard
sashi-kan/Hygieia,107282963,Hard,Social,Social,Social
basho-labs/YCSB,8486938,Hard,Hard,Hard,Social
lyft/flink,120056692,Social,Social,Social,Social
crs4/avro,36357179,Social,Social,Social,Social
lsedlacek/avro,84319062,Hard,Social,Social,Social
wibidata/YCSB,10112111,Hard,Social,Social,Social
orientechnologies/YCSB,21673030,Hard,Hard,Hard,Social
shashpash/android-times-square,105145652,Hard,Social,Social,Social
busbey/YCSB,16558407,Social,Social,Social,Social
rhusar/infinispan,110528483,Hard,Social,Social,Social
unruly/browsermob-proxy,49442230,Hard,Social,Social,Social
zmyer/infinispan,58819274,Hard,Social,Social,Social
mrtnrst/react-native,121041074,Social,Social,Social,Social
karesti/infinispan,83803176,Social,Social,Social,Social
fmanns/react-native,105714243,Hard,Social,Social,Social
Stackdriver/jmxtrans,11637594,Hard,Social,Social,Social
skymysky/infinispan,197699588,Social,Social,Social,Social
guoGavin/retrofit,20715125,Hard,Social,Social,Social
diegolovison/infinispan,114636065,Social,Social,Social,Social
SavageCore/Essentials,83094879,Social,Social,Social,Social
SudoPlz/react-native,139703923,Social,Social,Social,Social
NJDaeger/Essentials,146663312,Hard,Social,Social,Social
ulthuan/Hygieia,117990119,Hard,Social,Social,Social
Minehut/Essentials,111890560,Hard,Social,Social,Social
ImgBotApp/react-native,108777654,Hard,Social,Social,Social
delbertina/Essentials,97362287,Hard,Hard,Hard,Hard
schup/Hygieia,100601795,Hard,Social,Social,Social
krallus/twitter4j,96452607,Hard,Social,Social,Social
samsp99/openhab2-addons,178595882,Hard,Social,Social,Social
SingingBush/twitter4j,100595037,Social,Social,Social,Social
MaTriXy/cameraview,135187275,Social,Social,Social,Social
eos1d3/twitter4j,106011764,Parent,Parent,Parent,Parent
guilhermebruzzi/react-native,68463021,Social,Social,Social,Social
seratch/twitter4j,144354170,Hard,Social,Social,Social
smerschjohann/smarthome,48643644,Hard,Social,Social,Social
droolsjbpm/drools,1381673,Parent,Parent,Parent,Parent
zonghaishang/dubbo,121260009,Social,Social,Social,Social
esteban-aliverti/drools,2341667,Social,Social,Social,Social
Yurii-Laguta/collect,100346813,Social,Social,Social,Social
sotty/drools,1965491,Hard,Social,Social,Social
DispatcherInc/react-native,51555638,Social,Social,Social,Social
mariofusco/drools,2061042,Social,Social,Social,Social
jasonwang1988/kafka,187107697,Hard,Social,Social,Social
etirelli/drools,1384596,Social,Social,Social,Social
