repo_id,forked_from,parent_id,hf_parent_id,depth,hf_depth,is_Hard_fork,full_name,owner_id,name,created_at,updated_at,build_file,ALL,0.7,0.9,0.3,1 Commit
107044107,1958,1958,NULL,1,NULL,0,oraNod/infinispan,38823453,infinispan,43328.53958,43616.63681,pom.xml,Social,Social,Social,Social,Social
124151723,1958,1958,NULL,1,NULL,0,gborp/infinispan,7139056,infinispan,43490.44306,43500.55069,pom.xml,Social,Social,Social,Social,Hard
384702,1958,1958,NULL,1,NULL,0,dvanbalen/infinispan,529803,infinispan,40926.78889,42662.60417,pom.xml,Social,Social,Social,Social,Hard
4143,NULL,4143,NULL,0,NULL,0,essentials/Essentials,19347,Essentials,40682.92708,43614.88611,pom.xml,Parent,Parent,Parent,Parent,Parent
58138601,17991525,17991525,NULL,1,NULL,0,Benjamin-Dobell/react-native,78378,react-native,42791.575,25570,build.gradle,Social,Social,Social,Social,Hard
44309,4143,4143,NULL,1,NULL,0,Yofel/Essentials,122278,Essentials,41125.40208,42655.75903,pom.xml,Hard,Hard,Hard,Social,Hard
245622,3531293,4143,NULL,2,NULL,0,kukelekuuk00/Essentials,318833,Essentials,42347.55486,42661.75278,pom.xml,Hard,Social,Social,Social,Hard
542894,4143,4143,NULL,1,NULL,0,Zenexer/Essentials,101891,Essentials,41346.40417,42699.96181,pom.xml,Hard,Hard,Hard,Social,Hard
95859357,17991525,17991525,NULL,1,NULL,0,yurykorzun/react-native,7778691,react-native,43213.83264,43585.85417,build.gradle,Social,Social,Social,Social,Hard
1798125,4143,4143,NULL,1,NULL,0,riki652/Essentials,1220410,Essentials,41121.97153,42431.89167,pom.xml,Hard,Hard,Hard,Social,Hard
1799726,4143,4143,NULL,1,NULL,0,nikooo14/Essentials,1221042,Essentials,41216.00208,42704.95556,pom.xml,Hard,Hard,Hard,Social,Hard
1868568,4143,4143,NULL,1,NULL,0,killed37/Essentials,1248424,Essentials,41260.77917,42424.5625,pom.xml,Hard,Hard,Hard,Social,Hard
10250653,12333,12333,10250653,1,0,1,kedzie/drools-android,468068,drools-android,41802.97222,42424.22569,pom.xml,Hard,Social,Social,Social,Hard
2001118,4143,4143,NULL,1,NULL,0,skmedix/Essentials,1322084,Essentials,41285.67014,25569.04167,pom.xml,Social,Social,Social,Social,Hard
690503,1958,1958,NULL,1,NULL,0,andyuk1986/infinispan,548330,infinispan,41248.65764,43591.55903,pom.xml,Social,Social,Social,Social,Hard
3509010,4143,4143,NULL,1,NULL,0,thekid23/Essentials,1900117,Essentials,41394.85278,42434.16944,pom.xml,Hard,Hard,Hard,Social,Hard
3531293,4143,4143,NULL,1,NULL,0,drtshock/Essentials,930088,Essentials,42109.05556,43471.72708,pom.xml,Parent,Parent,Parent,Parent,Parent
