repo_id,parent_id,depth,hf_parent_id,hf_depth,is_hard_fork,age,stars,forks,forks_active,user_count,user_family_count,followers_repo,followers_in_family,followers_outside,pr_within,pr_family,pr_within_comments,pr_family_comments,pr_within_code_comments,pr_family_code_comments,issue_repo,issue_family,issue_outside,issue_repo_comments,issue_family_comments,issue_outside_comments,issues_subscribed_repo,issues_unsubscribed_repo,issues_closed_repo,issues_reopened_repo,issues_referenced_repo,issues_assigned_repo,issues_mentioned_repo,pr_mentioned_repo,issues_subscribed_family,issues_unsubscribed_family,issues_closed_family,issues_reopened_family,issues_referenced_family,issues_assigned_family,issues_mentioned_family,issues_subscribed_outside,issues_unsubscribed_outside,issues_closed_outside,issues_reopened_outside,issues_referenced_outside,issues_assigned_outside,issues_mentioned_outside,pr_family_mentioned,new_jaccard,activity,is_hf_parent,all,thirty,seventy,ninety,one_commit,jaccard_median,jaccard_k2,jaccard_k3,j_c_2,jaccard_k4
2019,1958,1,NULL,NULL,0,3104,1,1,0,14,14,34,44,511,1,800,0,1921,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Long-Heavy,0,0,0,0,0,0,0,1,1,0,1
67812,1958,1,NULL,NULL,0,3069,0,0,0,7,7,19,26,191,0,210,0,352,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.980044,Long-Heavy,0,1,0,0,0,0,1,1,1,1,1
67963,1958,1,NULL,NULL,0,2508,0,0,0,3,3,1,14,72,0,21,0,11,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.962306,Long-Low,0,0,0,0,0,1,1,1,1,1,1
68002,1958,1,NULL,NULL,0,2915,0,0,0,10,10,35,34,311,0,765,0,1470,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Long-Heavy,0,1,0,0,0,1,1,1,2,1,2
84459,1958,1,NULL,NULL,0,2566,1,0,0,12,12,26,36,335,1,495,0,753,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Long-Heavy,0,0,0,0,0,0,0,1,2,0,2
91042,1958,1,91042,0,1,2644,3,5,1,12,12,30,39,334,0,387,0,2247,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Long-Heavy,1,0,0,0,0,0,0,1,2,0,2
96542,1958,1,NULL,NULL,0,3117,0,0,0,15,15,48,33,1713,0,341,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Long-Heavy,0,0,0,0,0,0,0,1,2,0,2
158501,1958,1,NULL,NULL,0,2881,0,1,0,10,9,16,34,267,1,899,0,1633,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.991131,Long-Heavy,0,0,0,0,0,0,1,1,2,1,2
210467,1958,1,NULL,NULL,0,3130,0,2,0,5,5,7,38,261,0,191,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977728,Long-Heavy,0,0,0,0,0,0,1,1,1,1,1
213186,1958,1,NULL,NULL,0,3126,0,0,0,8,8,17,35,263,1,150,0,621,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.962306,Long-Heavy,0,1,0,0,0,1,1,1,1,1,1
223468,1958,1,NULL,NULL,0,2770,0,0,0,11,11,23,27,389,0,483,0,3278,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Long-Heavy,0,0,0,0,0,0,0,1,2,0,2
245159,1958,1,NULL,NULL,0,3053,0,0,0,5,5,10,28,421,0,72,0,36,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997717,Long-Low,0,0,0,0,0,0,1,1,1,1,1
284300,1958,1,NULL,NULL,0,2749,0,0,0,2,1,0,11,69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997717,Long-Low,0,0,0,0,0,1,1,1,1,1,1
343952,1958,1,NULL,NULL,0,2706,0,0,0,6,6,14,34,317,0,52,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Long-Heavy,0,1,0,0,0,0,0,1,1,0,1
372949,1958,1,NULL,NULL,0,2795,1,0,0,5,4,6,34,363,0,19,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997706,Long-Heavy,0,0,0,0,0,1,1,1,1,1,1
384702,1958,1,NULL,NULL,0,2691,1,0,0,4,4,4,28,224,0,2,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995455,Long-Low,0,0,0,0,0,1,1,1,1,1,1
421829,1958,1,NULL,NULL,0,2476,0,0,0,2,2,0,12,81,0,4,0,71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993243,Long-Low,0,0,0,0,0,1,1,1,1,1,1
547776,1958,1,NULL,NULL,0,2922,0,0,0,4,4,4,22,131,0,89,0,83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997696,Long-Heavy,0,0,0,0,0,1,1,1,1,1,1
557198,1958,1,NULL,NULL,0,3131,0,0,0,4,3,2,29,226,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Long-Low,0,0,0,0,0,1,0,1,1,0,1
558106,1958,1,NULL,NULL,0,3012,0,0,0,3,3,4,32,274,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995455,Long-Low,0,1,0,0,0,1,1,1,1,1,1
690503,1958,1,NULL,NULL,0,2369,1,0,0,2,2,0,14,66,0,56,0,95,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Long-Heavy,0,0,0,0,0,1,0,1,1,0,1
690505,1958,1,NULL,NULL,0,2938,0,0,0,2,2,1,9,105,0,24,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997712,Long-Low,0,0,0,0,0,0,1,1,1,1,1
737087,1958,1,NULL,NULL,0,2823,1,2,1,8,8,15,36,417,0,36,0,34,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.960177,Long-Heavy,0,0,0,0,0,0,1,1,1,1,1
820518,1958,1,NULL,NULL,0,3125,1,0,0,5,5,6,34,391,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.964523,Long-Low,0,0,0,0,0,1,1,1,1,1,1
1025831,1958,1,NULL,NULL,0,1944,2,0,0,4,4,0,26,1441,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.980044,Short-Low,0,0,0,0,0,1,1,1,1,1,1
1042502,1958,1,NULL,NULL,0,1831,0,0,0,5,5,3,30,398,1,370,0,1166,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Short-Heavy,0,1,0,0,0,1,0,0,2,0,2
1427922,1958,1,NULL,NULL,0,2749,1,0,0,2,1,0,7,22,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.980044,Long-Low,0,1,0,0,0,1,1,1,1,1,1
1427958,1958,1,NULL,NULL,0,3027,1,0,0,2,2,0,12,70,0,16,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.980044,Long-Low,0,0,0,0,0,1,1,1,1,1,1
1427966,1958,1,NULL,NULL,0,3130,1,0,0,9,9,20,35,1628,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995465,Long-Heavy,0,0,0,0,0,1,1,1,1,1,1
1875976,1958,2,NULL,NULL,0,2218,0,0,0,2,2,0,11,88,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990991,Short-Low,0,0,0,0,0,1,1,1,1,1,1
2914535,1958,1,NULL,NULL,0,2284,0,0,0,8,8,13,29,408,0,194,0,1493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.960089,Short-Heavy,0,0,0,0,0,1,1,1,1,1,1
3557945,1958,2,91042,1,1,2220,0,0,0,2,2,1,4,13,0,10,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990991,Short-Heavy,0,0,0,0,0,1,1,1,1,1,1
3699449,1958,1,NULL,NULL,0,2210,0,0,0,3,2,0,20,117,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.979775,Short-Low,0,0,0,0,0,1,1,1,1,1,1
